====>> Read file list
70000
70000
===> Loading datasets
===> Building model
===> Setting GPU
=> no checkpoint found at 'ckp/model_epoch_100.pth'
===> Setting Optimizer
===> Training
Current lr 0.0001
Epoch=1, lr=0.0001
Epoch:[1/150][0/5833]	Time: 46.912 (46.912)	Data: 20.747 (20.747)	Loss: 67.964 (67.964)	PNSR: 11.783 (11.783)
Epoch:[1/150][100/5833]	Time: 1.477 (1.791)	Data: 0.001 (0.206)	Loss: 36.738 (43.485)	PNSR: 15.867 (15.619)
Epoch:[1/150][200/5833]	Time: 1.605 (1.567)	Data: 0.002 (0.106)	Loss: 59.166 (42.479)	PNSR: 13.190 (15.764)
Epoch:[1/150][300/5833]	Time: 1.452 (1.506)	Data: 0.000 (0.071)	Loss: 40.470 (40.664)	PNSR: 15.561 (16.055)
Epoch:[1/150][400/5833]	Time: 1.785 (1.466)	Data: 0.000 (0.053)	Loss: 41.337 (39.242)	PNSR: 16.295 (16.238)
Epoch:[1/150][500/5833]	Time: 1.303 (1.440)	Data: 0.001 (0.043)	Loss: 26.083 (37.839)	PNSR: 18.406 (16.566)
Epoch:[1/150][600/5833]	Time: 1.137 (1.427)	Data: 0.000 (0.036)	Loss: 38.934 (36.672)	PNSR: 18.017 (16.861)
Epoch:[1/150][700/5833]	Time: 1.139 (1.413)	Data: 0.001 (0.031)	Loss: 31.916 (35.618)	PNSR: 17.652 (17.164)
Epoch:[1/150][800/5833]	Time: 1.616 (1.403)	Data: 0.000 (0.027)	Loss: 30.304 (34.700)	PNSR: 20.332 (17.444)
Epoch:[1/150][900/5833]	Time: 1.610 (1.394)	Data: 0.000 (0.024)	Loss: 28.879 (34.056)	PNSR: 18.099 (17.642)
Epoch:[1/150][1000/5833]	Time: 0.942 (1.387)	Data: 0.000 (0.022)	Loss: 27.234 (33.317)	PNSR: 18.964 (17.862)
Epoch:[1/150][1100/5833]	Time: 1.292 (1.384)	Data: 0.000 (0.020)	Loss: 34.926 (32.966)	PNSR: 17.879 (17.991)
Epoch:[1/150][1200/5833]	Time: 1.324 (1.378)	Data: 0.001 (0.018)	Loss: 28.377 (32.457)	PNSR: 18.876 (18.160)
Epoch:[1/150][1300/5833]	Time: 1.229 (1.371)	Data: 0.000 (0.017)	Loss: 20.729 (31.989)	PNSR: 21.679 (18.315)
Epoch:[1/150][1400/5833]	Time: 1.255 (1.364)	Data: 0.000 (0.016)	Loss: 31.338 (31.571)	PNSR: 19.689 (18.457)
Epoch:[1/150][1500/5833]	Time: 1.312 (1.358)	Data: 0.000 (0.015)	Loss: 18.507 (31.349)	PNSR: 21.840 (18.546)
Epoch:[1/150][1600/5833]	Time: 1.472 (1.352)	Data: 0.000 (0.014)	Loss: 31.559 (31.039)	PNSR: 19.869 (18.653)
Epoch:[1/150][1700/5833]	Time: 1.461 (1.348)	Data: 0.000 (0.013)	Loss: 25.985 (30.757)	PNSR: 20.751 (18.750)
Epoch:[1/150][1800/5833]	Time: 1.386 (1.344)	Data: 0.000 (0.012)	Loss: 18.703 (30.455)	PNSR: 22.997 (18.849)
Epoch:[1/150][1900/5833]	Time: 1.025 (1.341)	Data: 0.000 (0.012)	Loss: 27.982 (30.185)	PNSR: 20.006 (18.937)
Epoch:[1/150][2000/5833]	Time: 1.383 (1.336)	Data: 0.000 (0.011)	Loss: 35.219 (30.002)	PNSR: 17.030 (19.010)
Epoch:[1/150][2100/5833]	Time: 1.440 (1.333)	Data: 0.000 (0.011)	Loss: 23.707 (29.757)	PNSR: 20.793 (19.097)
Epoch:[1/150][2200/5833]	Time: 1.483 (1.332)	Data: 0.000 (0.010)	Loss: 28.747 (29.524)	PNSR: 19.062 (19.180)
Epoch:[1/150][2300/5833]	Time: 0.808 (1.329)	Data: 0.000 (0.010)	Loss: 19.496 (29.348)	PNSR: 22.254 (19.242)
Epoch:[1/150][2400/5833]	Time: 1.308 (1.326)	Data: 0.000 (0.009)	Loss: 27.767 (29.177)	PNSR: 20.377 (19.305)
Epoch:[1/150][2500/5833]	Time: 1.609 (1.326)	Data: 0.000 (0.009)	Loss: 26.168 (29.056)	PNSR: 20.014 (19.357)
Epoch:[1/150][2600/5833]	Time: 1.270 (1.324)	Data: 0.000 (0.009)	Loss: 21.835 (28.887)	PNSR: 21.260 (19.420)
Epoch:[1/150][2700/5833]	Time: 1.014 (1.322)	Data: 0.000 (0.008)	Loss: 23.219 (28.766)	PNSR: 21.289 (19.464)
Epoch:[1/150][2800/5833]	Time: 1.202 (1.322)	Data: 0.000 (0.008)	Loss: 26.280 (28.616)	PNSR: 21.333 (19.519)
Epoch:[1/150][2900/5833]	Time: 1.298 (1.321)	Data: 0.000 (0.008)	Loss: 26.486 (28.469)	PNSR: 21.669 (19.575)
Epoch:[1/150][3000/5833]	Time: 1.198 (1.320)	Data: 0.000 (0.008)	Loss: 30.549 (28.349)	PNSR: 19.184 (19.619)
Epoch:[1/150][3100/5833]	Time: 1.141 (1.319)	Data: 0.000 (0.007)	Loss: 24.721 (28.216)	PNSR: 20.894 (19.673)
Epoch:[1/150][3200/5833]	Time: 2.215 (1.325)	Data: 0.001 (0.007)	Loss: 23.541 (28.065)	PNSR: 21.395 (19.727)
Epoch:[1/150][3300/5833]	Time: 1.545 (1.333)	Data: 0.000 (0.007)	Loss: 23.820 (27.971)	PNSR: 21.155 (19.762)
Epoch:[1/150][3400/5833]	Time: 1.395 (1.334)	Data: 0.000 (0.007)	Loss: 26.453 (27.847)	PNSR: 19.834 (19.808)
Epoch:[1/150][3500/5833]	Time: 1.708 (1.334)	Data: 0.000 (0.007)	Loss: 19.458 (27.731)	PNSR: 23.250 (19.853)
Epoch:[1/150][3600/5833]	Time: 1.606 (1.335)	Data: 0.000 (0.006)	Loss: 15.673 (27.604)	PNSR: 22.789 (19.901)
Epoch:[1/150][3700/5833]	Time: 1.018 (1.334)	Data: 0.000 (0.006)	Loss: 20.582 (27.504)	PNSR: 22.119 (19.945)
Epoch:[1/150][3800/5833]	Time: 1.404 (1.333)	Data: 0.000 (0.006)	Loss: 22.624 (27.446)	PNSR: 21.401 (19.967)
Epoch:[1/150][3900/5833]	Time: 1.193 (1.333)	Data: 0.000 (0.006)	Loss: 21.856 (27.394)	PNSR: 21.616 (19.992)
Epoch:[1/150][4000/5833]	Time: 1.486 (1.332)	Data: 0.000 (0.006)	Loss: 20.897 (27.283)	PNSR: 23.261 (20.034)
Epoch:[1/150][4100/5833]	Time: 1.452 (1.332)	Data: 0.000 (0.006)	Loss: 19.473 (27.188)	PNSR: 22.686 (20.071)
Epoch:[1/150][4200/5833]	Time: 1.635 (1.331)	Data: 0.000 (0.006)	Loss: 23.234 (27.139)	PNSR: 22.304 (20.097)
Epoch:[1/150][4300/5833]	Time: 0.959 (1.331)	Data: 0.000 (0.006)	Loss: 25.114 (27.067)	PNSR: 20.704 (20.124)
Epoch:[1/150][4400/5833]	Time: 1.281 (1.331)	Data: 0.000 (0.005)	Loss: 16.700 (26.993)	PNSR: 23.459 (20.155)
Epoch:[1/150][4500/5833]	Time: 1.399 (1.331)	Data: 0.000 (0.005)	Loss: 17.307 (26.937)	PNSR: 23.087 (20.177)
Epoch:[1/150][4600/5833]	Time: 1.234 (1.330)	Data: 0.000 (0.005)	Loss: 23.007 (26.874)	PNSR: 21.995 (20.199)
Epoch:[1/150][4700/5833]	Time: 0.973 (1.329)	Data: 0.000 (0.005)	Loss: 29.461 (26.814)	PNSR: 20.264 (20.223)
Epoch:[1/150][4800/5833]	Time: 1.232 (1.330)	Data: 0.000 (0.005)	Loss: 24.665 (26.767)	PNSR: 20.574 (20.245)
Epoch:[1/150][4900/5833]	Time: 1.170 (1.328)	Data: 0.000 (0.005)	Loss: 29.139 (26.696)	PNSR: 20.491 (20.274)
Epoch:[1/150][5000/5833]	Time: 1.027 (1.328)	Data: 0.000 (0.005)	Loss: 27.696 (26.657)	PNSR: 20.937 (20.298)
Epoch:[1/150][5100/5833]	Time: 1.460 (1.327)	Data: 0.000 (0.005)	Loss: 26.036 (26.586)	PNSR: 19.579 (20.324)
Epoch:[1/150][5200/5833]	Time: 1.490 (1.326)	Data: 0.000 (0.005)	Loss: 19.134 (26.519)	PNSR: 23.742 (20.351)
Epoch:[1/150][5300/5833]	Time: 1.607 (1.325)	Data: 0.000 (0.005)	Loss: 20.156 (26.466)	PNSR: 22.733 (20.371)
Epoch:[1/150][5400/5833]	Time: 1.290 (1.324)	Data: 0.000 (0.004)	Loss: 25.344 (26.418)	PNSR: 20.966 (20.389)
Epoch:[1/150][5500/5833]	Time: 1.325 (1.323)	Data: 0.000 (0.004)	Loss: 22.016 (26.372)	PNSR: 21.429 (20.408)
Epoch:[1/150][5600/5833]	Time: 0.914 (1.322)	Data: 0.000 (0.004)	Loss: 17.744 (26.320)	PNSR: 22.983 (20.429)
Epoch:[1/150][5700/5833]	Time: 1.450 (1.321)	Data: 0.000 (0.004)	Loss: 17.547 (26.276)	PNSR: 22.956 (20.446)
Epoch:[1/150][5800/5833]	Time: 0.999 (1.320)	Data: 0.000 (0.004)	Loss: 27.383 (26.257)	PNSR: 18.645 (20.458)
Checkpoint saved to ckp/model_epoch_1.pth
Current lr 0.0001
Epoch=2, lr=0.0001
Epoch:[2/150][0/5833]	Time: 25.516 (25.516)	Data: 20.454 (20.454)	Loss: 20.915 (20.915)	PNSR: 21.535 (21.535)
Epoch:[2/150][100/5833]	Time: 1.620 (1.685)	Data: 0.000 (0.205)	Loss: 14.476 (22.440)	PNSR: 24.952 (21.995)
Epoch:[2/150][200/5833]	Time: 0.862 (1.527)	Data: 0.000 (0.104)	Loss: 27.387 (23.219)	PNSR: 19.594 (21.724)
Epoch:[2/150][300/5833]	Time: 1.481 (1.478)	Data: 0.000 (0.070)	Loss: 19.871 (23.258)	PNSR: 21.827 (21.720)
Epoch:[2/150][400/5833]	Time: 1.177 (1.453)	Data: 0.001 (0.053)	Loss: 21.406 (23.260)	PNSR: 21.243 (21.728)
Epoch:[2/150][500/5833]	Time: 1.345 (1.434)	Data: 0.000 (0.043)	Loss: 20.529 (23.403)	PNSR: 20.794 (21.645)
Epoch:[2/150][600/5833]	Time: 1.506 (1.414)	Data: 0.001 (0.036)	Loss: 24.351 (23.326)	PNSR: 21.042 (21.690)
Epoch:[2/150][700/5833]	Time: 0.902 (1.403)	Data: 0.000 (0.031)	Loss: 34.508 (23.284)	PNSR: 19.505 (21.702)
Epoch:[2/150][800/5833]	Time: 1.277 (1.393)	Data: 0.000 (0.027)	Loss: 21.366 (23.479)	PNSR: 21.184 (21.629)
Epoch:[2/150][900/5833]	Time: 1.141 (1.389)	Data: 0.001 (0.024)	Loss: 22.335 (23.429)	PNSR: 22.399 (21.644)
Epoch:[2/150][1000/5833]	Time: 0.993 (1.383)	Data: 0.000 (0.022)	Loss: 17.343 (23.469)	PNSR: 24.278 (21.642)
Epoch:[2/150][1100/5833]	Time: 1.272 (1.377)	Data: 0.000 (0.021)	Loss: 15.264 (23.442)	PNSR: 25.420 (21.649)
Epoch:[2/150][1200/5833]	Time: 1.679 (1.373)	Data: 0.000 (0.019)	Loss: 26.586 (23.480)	PNSR: 21.625 (21.660)
Epoch:[2/150][1300/5833]	Time: 0.913 (1.369)	Data: 0.000 (0.018)	Loss: 17.327 (23.477)	PNSR: 24.047 (21.673)
Epoch:[2/150][1400/5833]	Time: 1.309 (1.364)	Data: 0.001 (0.016)	Loss: 24.861 (23.410)	PNSR: 20.822 (21.694)
Epoch:[2/150][1500/5833]	Time: 1.679 (1.364)	Data: 0.000 (0.015)	Loss: 26.450 (23.365)	PNSR: 20.378 (21.718)
